ランキング,タイトル,総合得点(点),評価件数(件),お気に入り人数(人),評価,物語,作画,声優,音楽,キャラ,ジャンル,放送時期,制作会社,声優陣
407,ちはやふる3（TVアニメ動画）,80.1,297,1380,4.0,4.1,3.9,4.0,3.8,4.0,TVアニメ動画,2019年秋アニメ,マッドハウス,瀬戸麻沙美、細谷佳正、宮野真守、茅野愛衣、奈良徹、代永翼、潘めぐみ、入野自由、坂本真綾
408,ベン・トー（TVアニメ動画）,80.0,2015,10423,3.6,3.6,3.6,3.6,3.6,3.7,TVアニメ動画,2011年秋アニメ,デイヴィッドプロダクション,下野紘、伊瀬茉莉也、加藤英美里、悠木碧、茅野愛衣、宮野真守、竹達彩奈
409,私がモテないのはどう考えてもお前らが悪い！（TVアニメ動画）,80.0,1962,9751,3.6,3.6,3.5,3.7,3.5,3.7,TVアニメ動画,2013年夏アニメ,SILVER LINK.,橘田いずみ、中村悠一、花澤香菜、釘宮理恵
410,精霊の守り人（TVアニメ動画）,80.0,1205,6274,4.1,4.2,4.2,3.9,3.9,4.1,TVアニメ動画,2007年春アニメ,プロダクションI.G,安藤麻吹、安達直人、辻谷耕史、真山亜子、野島裕史、楠見尚己、松風雅也、西凜太朗
411,オオカミさんと七人の仲間たち（TVアニメ動画）,79.9,2093,12240,3.6,3.4,3.7,3.7,3.4,3.8,TVアニメ動画,2010年夏アニメ,J.C.STAFF,伊藤静、伊藤かな恵、入野自由、野島裕史、堀江由衣、川澄綾子、浅沼晋太郎、豊崎愛生、こやまきみこ、釘宮理恵、矢作紗友里、甲斐田裕子、福井裕佳梨、新井里美
412,恋と選挙とチョコレート（TVアニメ動画）,79.9,1806,10380,3.6,3.5,3.7,3.6,3.5,3.7,TVアニメ動画,2012年夏アニメ,AIC,中村悠一、中村繪里子、門脇舞以、今井麻美、水橋かおり、浅川悠、儀武ゆう子、緒方恵美、いのくちゆか、藤村歩、石松千恵美、真田アサミ、榊原ゆい、遊佐浩二、水島大宙、鈴村健一
413,ソードアート・オンライン オルタナティブ ガンゲイル・オンライン（TVアニメ動画）,79.9,860,3987,3.6,3.4,3.7,3.6,3.7,3.6,TVアニメ動画,2018年春アニメ,Studio 3Hz,楠木ともり、日笠陽子、興津和幸、赤﨑千夏
414,るろうに剣心 明治剣客浪漫譚 追憶編（OVA）,79.9,483,2838,4.1,4.3,4.2,3.9,4.0,4.1,OVA,1999年2月20日,ja.wikipedia.org/wiki/%E3%82%8B%E3%82%8D%E3%81%86%E3%81%AB%E5%89%A3%E5%BF%83_...,
415,かんなぎ（TVアニメ動画）,79.8,2210,12038,3.7,3.6,3.7,3.8,3.7,3.9,TVアニメ動画,2008年秋アニメ,A-1 Pictures,戸松遥、下野紘、沢城みゆき、花澤香菜、星野貴紀、柿原徹也、早水リサ、中原麻衣
416,ストライクウィッチーズ（TVアニメ動画）,79.8,2041,10527,3.8,3.6,3.8,3.8,3.6,4.0,TVアニメ動画,2008年夏アニメ,GONZO,福圓美里、千葉紗子、田中理恵、名塚佳織、沢城みゆき、園崎未恵、野川さくら、斎藤千和、小清水亜美、門脇舞以、大橋歩夕
417,みなみけ ただいま（TVアニメ動画）,79.8,1563,8528,3.9,3.8,3.9,4.0,3.7,4.2,TVアニメ動画,2013年冬アニメ,feel.,佐藤利奈、井上麻里奈、茅原実里、水樹奈々、森永理科、柿原徹也、小野大輔、喜多村英梨、豊崎愛生、大原桃子、後藤沙緒里、高梁碧、葉山達也、南條愛乃、高木礼子、小野涼子、千葉紗子、吉野裕行、齋藤彩夏、川田紳司、浅沼晋太郎
